C0008031	['FN', 'FN', 'PT', 'FN', 'FN', 'PT', 'PT', 'CN', 'HT', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SY', 'SY', 'PT', 'PT', 'PT', 'PT', 'PM', 'PT', 'LLT', 'MD', 'SD', 'SD', 'LLT', 'PT', 'PT', 'SY', 'ET', 'PM', 'PT', 'PT', 'PT', 'PM', 'SY', 'LLT', 'LLT', 'PT', 'LLT', 'PT', 'PTCS', 'SY', 'PT', 'LLT', 'SY', 'SY', 'PT', 'LLT']
C0008033	['LLT', 'ET', 'PT', 'PT', 'LLT', 'SY', 'SY', 'PT', 'SY', 'PT', 'SY', 'FN', 'LLT', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY', 'ET', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY']
C0008035	['FN', 'PT', 'SY', 'SY', 'SY', 'FN', 'LLT', 'PN', 'PT', 'PT', 'SY', 'SY']
C0008039	['SY', 'PM', 'SY', 'SY', 'PT', 'FN', 'SY', 'ET', 'PT', 'PT', 'SY', 'SY', 'SY', 'FN', 'FN', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'LA', 'PT', 'SY', 'LLT', 'PM', 'PT']
C0008983	['SY', 'FN', 'PT']
C0009024	['FN', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'SY']
C0009090	['SY', 'FN', 'FN', 'ET', 'ET', 'SY', 'LLT', 'PEP', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PM']
C0009193	['LLT', 'SY', 'SY', 'FN', 'LLT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'PT', 'PTN', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY', 'PT', 'SY', 'FN', 'PT', 'FN', 'PT', 'PT', 'SY']
C0009216	['PT']
C0009806	['SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'FN', 'FN', 'CN', 'HT', 'HT', 'ID', 'LA', 'LLT', 'LPDN', 'LPN', 'MD', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'RT', 'SY', 'PT', 'PT', 'SY', 'SY', 'SY', 'SYGB', 'SY', 'SY', 'SY', 'SY', 'PT', 'PT', 'FN', 'PT', 'FN', 'PT', 'PT']
C0009812	['SY', 'PN', 'PT', 'PT', 'CN', 'LPDN', 'LPN']
