C0012004	['FSY', 'FSY', 'FSY', 'PEP', 'FN', 'ET', 'SY', 'SY', 'SY', 'SY', 'PEP', 'ET', 'GN', 'IN', 'IN', 'IN', 'IN', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'SU', 'SY', 'PT', 'SY', 'FSY', 'FN']
C0012005	['CSN', 'PM', 'CSN', 'N1', 'FN', 'BN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'ET', 'PM', 'PM', 'FN', 'ET', 'SY', 'SY', 'ET', 'PT', 'SY', 'SY', 'PM', 'ET', 'PM']
C0012007	['CSN', 'FN', 'ET', 'IN', 'IN', 'IN', 'IN', 'IN', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'SU', 'PM', 'FN', 'SY', 'PEP', 'PT', 'SY']
C0012018	['ET', 'FN', 'CN', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'N1']
C0012095	['PEP', 'PM']
C0012124	['N1', 'ET', 'MH']
C0012256	['N1', 'ET', 'MH', 'PT']
C0012398	['PM', 'PM', 'PM', 'ET', 'MH', 'ET', 'N1']
C0012402	['ET', 'MH', 'ET', 'N1', 'PM', 'PM']
C0012426	['FN', 'CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'CSN', 'N1', 'PM', 'FN', 'ET', 'PT', 'PT', 'PT', 'SY']
C0012456	['CSN', 'PM', 'PM', 'PM', 'ET', 'CSN', 'PT', 'ET', 'ET', 'N1', 'IN', 'PT', 'ET', 'SY', 'IN', 'MH', 'PN', 'SY', 'ET', 'ET', 'SY']
C0012463	['PM', 'ET', 'PT', 'SY', 'SY', 'SY', 'SY', 'N1', 'MH', 'PT', 'PT', 'SY', 'ET', 'AB', 'ET', 'ET', 'SY', 'ET', 'SY']
C0012531	['PM', 'ET', 'N1', 'MH', 'PM', 'ET']
C0012533	['PM', 'ET', 'ET', 'N1', 'MH']
C0012584	['PEP']
C0012753	['PEP', 'PM']
C0012783	['PM', 'ET', 'N1', 'FN', 'IN', 'MH', 'PT', 'PT', 'PT']
C0012784	['FN', 'IN', 'PEP', 'PT', 'PT', 'PT', 'PM']
C0012786	['N1', 'ET', 'MH']
C0012788	['ET', 'PM', 'N1', 'PT', 'MH', 'PN', 'ET', 'SY', 'PM', 'ET', 'PM', 'PM']
C0012790	['N1', 'ET', 'ET', 'MH']
C0012893	['ET', 'ET', 'ET', 'ET', 'PT', 'ET', 'MH', 'PT', 'PT', 'SY', 'PM', 'PM', 'SY', 'PM', 'PM', 'PM', 'ET', 'PM', 'ET']
C0012894	['ET', 'MH', 'ET', 'ET', 'ET', 'PM']
C0012895	['MH', 'ET', 'PT', 'ET', 'ET', 'PM']
C0013254	['SY', 'BN', 'ET', 'SY', 'SY', 'SY', 'ET', 'IN', 'SY', 'SY', 'CSN', 'PT', 'SY', 'SY', 'SY', 'SY', 'AB', 'BN', 'ET', 'ET', 'SY', 'SY', 'N1', 'PM', 'ET', 'FN', 'ET', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'ET', 'FN']
C0013343	['SY', 'PT', 'FN', 'ET', 'IN', 'PT', 'PT', 'PT', 'SY', 'LA', 'PEP', 'PN', 'SY']
C0013714	['CSN', 'CSN', 'N1', 'PM', 'ET', 'ET', 'SY', 'PT', 'IN', 'MH', 'PN', 'PT', 'PT', 'SY', 'ET', 'ET', 'ET', 'ET', 'ET']
C0014129	['PEP']
C0014163	['PEP']
C0014444	['PM', 'MH', 'PM', 'PT', 'ET', 'PT']
C0014639	['PM', 'PEP']
C0014824	['ET', 'SY', 'CSN', 'SY', 'FN', 'PT', 'PT', 'ET', 'PT', 'SY', 'ET', 'SY', 'ET', 'LPDN', 'LPN', 'SY', 'IN', 'LPDN', 'LPN', 'MH', 'PN', 'SY', 'ET', 'IN', 'MS', 'SU', 'ET', 'SY', 'SU', 'IN', 'PT', 'PT', 'SU', 'SY', 'SU', 'ET', 'SY', 'FN', 'SY', 'N1', 'SY']
C0014839	['N1', 'SY', 'CSN', 'SY', 'SY', 'SY', 'ET', 'PT', 'SY', 'FSY', 'SY', 'SY', 'FN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'SU', 'SY', 'FSY', 'IN', 'ET', 'SY', 'ET']
C0014991	['MH', 'PM']
C0015018	['SY', 'SY', 'ET', 'FN', 'FN', 'DN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'N1', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'ET', 'PM', 'PM', 'FN']
C0015051	['ET', 'CSN', 'ET', 'ET', 'FN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SU', 'N1']
C0015073	['N1', 'ET', 'ET', 'PM', 'PM', 'ET', 'MH']
C0015082	['PM', 'FN', 'CN', 'LPDN', 'LPN', 'PT', 'ET', 'MH', 'PN']
C0015101	['N1', 'MH', 'PM', 'ET', 'ET']
C0015205	['N1', 'ET', 'PM', 'PM', 'PM', 'SY', 'SY', 'PM', 'ET', 'SY', 'FN', 'PT', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY']
C0015874	['PEP', 'PM']
C0015893	['N1', 'MH']
C0016071	['N1', 'MH', 'PT']
C0016184	['ET', 'PT', 'PT', 'ET', 'MH', 'PN', 'SY', 'ET']
C0016312	['MH', 'N1']
C0016314	['MH']
C0016320	['PM', 'PM', 'PM', 'ET', 'ET', 'ET', 'ET', 'ET', 'SY', 'PT', 'MH', 'PT', 'ET', 'SY', 'ET']
C0016321	['ET', 'ET', 'PEP', 'PT', 'PM']
C0016349	['PEP', 'ET', 'PM']
C0016575	['ET', 'MH']
C0016576	['SY', 'FSY', 'FSY', 'SY', 'SY', 'FN', 'FN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'NM', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'SY', 'SY', 'CE', 'SY', 'SY', 'SY']
C0016911	['FSY', 'FN', 'FN', 'CN', 'DN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'N1', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'ET']
C0016979	['SY', 'FN', 'CSN', 'ET', 'PT', 'PM', 'CSN', 'N1', 'IN', 'MH', 'MS', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU']
C0016984	['PM', 'PEP']
C0017275	['PM', 'PEP', 'PM']
C0017440	['SY', 'SY', 'PM', 'PM', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'PT', 'SY', 'BN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'PT', 'SY', 'CSN', 'ET', 'N1', 'SY', 'ET', 'SY', 'ET', 'SY', 'FN', 'PTGB', 'SY', 'FN', 'SY', 'SY', 'PM', 'PM', 'PM']
C0017542	['FN', 'PEP', 'PN', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'PM']
C0017543	['PM', 'PEP']
C0017776	['CN', 'LPDN', 'LPN', 'PM', 'PT', 'SY', 'N1', 'FN', 'ET', 'PN', 'PT', 'MH', 'PT', 'PT']
C0018029	['PM', 'MH', 'PM', 'PM', 'ET', 'PM']
