C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0006610	['CA-125 Antigen']
C0006611	['Mucin-1 Antigen']
C0006613	['CA-19-9 Antigen']
C0006614	['CA-50 antigen']
C0006618	[]
C0006630	[]
C0006631	['Cadherins']
C0006639	[]
C0006643	[]
C0006657	['calcifediol']
C0006668	['calcitonin']
C0006669	['Calcitonin Gene-Related Peptide']
C0006670	['Calcitonin Gene-Related Peptide I']
C0006671	[]
C0006674	['calcitriol']
C0006675	['calcium']
C0006678	[]
C0006685	['Calcium Channel']
C0006710	['calcium pantothenate']
C0006730	['Calcium-Binding Protein, Vitamin D-Dependent']
C0006732	['Calcium-Binding Proteins']
C0006746	['Caldesmon']
C0006747	[]
C0006748	[]
C0006749	[]
C0006772	['Calmodulin']
C0006774	['Calmodulin-Binding Proteins']
C0006784	['Calpain']
C0006785	[]
C0006786	[]
C0006787	[]
C0006788	[]
C0006794	[]
C0006825	[]
C0006958	[]
C0006960	[]
C0006961	['Carbamoyl-Phosphate Synthase (Ammonia)']
C0006962	['Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing)']
C0006978	[]
C0006997	[]
C0006998	[]
C0007012	['carbon dioxide']
C0007028	['CARBONATE DEHYDRATASE']
C0007033	['Carbonic Anhydrase I']
C0007034	['Carbonic Anhydrase II']
C0007035	['Carbonic Anhydrase III']
C0007054	['Carboxy-Lyases']
C0007061	['Carboxyhemoglobin']
C0007062	[]
C0007063	[]
C0007067	['Carboxylic Ester Hydrolases']
C0007071	[]
C0007072	['glucarpidase']
C0007074	[]
C0007075	['Carboxypeptidase']
C0007082	['Carcinoembryonic Antigen']
C0007259	['Carnitine O-Acetyltransferase']
C0007261	['Carnitine Acyltransferases']
C0007262	['Carnitine O-Palmitoyltransferase']
C0007267	['carnosine']
C0007269	['Carotene']
C0007271	[]
C0007289	['carrageenan']
C0007292	[]
C0007330	[]
C0007331	['Casein Phosphatase']
C0007364	[]
C0007367	['catalase']
C0007368	[]
C0007369	[]
C0007406	[]
C0007407	['Catechol O-Methyltransferase']
C0007410	[]
C0007411	[]
C0007412	['Catecholamines']
C0007425	[]
C0007427	['CATHEPSIN D']
C0007428	[]
C0007507	['Antigens, CD25']
C0007511	[]
C0007578	['Cell Adhesion Molecules']
C0007579	[]
C0007640	[]
C0007641	['cellulase']
C0007648	['cellulose']
C0007728	[]
C0007743	['Galactosylgalactosylglucosylceramidase']
C0007745	['ceramides']
C0007746	[]
C0007804	['Cerebroside-Sulfatase']
C0007810	[]
C0007831	[]
C0007839	[]
C0007841	['Ceruloplasmin']
C0007910	['Cevadine']
C0007913	[]
C0007937	[]
C0008013	['Chemotactic Factors']
C0008014	[]
C0008015	['Macrophage Chemotactic Factors']
C0008024	['chenodeoxycholic acid']
C0008134	[]
C0008141	['Chitin']
C0008142	['Chitin Synthase']
C0008143	[]
C0008145	['Chitinases']
C0008169	['Chloramphenicol O-Acetyltransferase']
C0008202	['Chloride Peroxidase']
C0008214	['chlormadinone acetate']
C0008240	['chlorogenic acid']
C0008260	['chlorophyll']
C0008261	[]
C0008262	[]
C0008275	['chlorotrianisene']
C0008314	[]
C0008318	['cholecalciferol']
C0008328	['cholecystokinin']
C0008356	[]
C0008357	[]
C0008358	[]
C0008359	['cholera vaccine']
C0008368	[]
C0008377	['cholesterol']
C0008380	['Sterol O-Acyltransferase']
C0008381	['Cholesterol Monooxygenase (Side-Chain-Cleaving)']
C0008385	['sterol esterase']
C0008387	[]
C0008391	['Cholesterol Oxidase']
C0008396	['Cholesterol 7-alpha-Monooxygenase']
C0008404	[]
C0008405	['choline']
C0008407	['Choline O-Acetyltransferase']
C0008415	['Choline Kinase']
C0008420	['Diacylglycerol Cholinephosphotransferase']
C0008429	['Cholinesterases']
C0008440	[]
C0008454	['Chondroitin']
C0008455	[]
C0008457	[]
C0008458	[]
C0008459	[]
C0008463	['Chondroitin AC Lyase']
C0008466	['chondroitin sulfates']
C0008469	[]
C0008471	[]
C0008472	[]
C0008473	['Chondroitinsulfatases']
C0008514	['Chorismate Mutase']
C0008515	[]
C0008516	[]
C0008518	[]
C0008586	['Chromogranins']
C0008600	[]
C0008601	[]
C0008731	['Chylomicrons']
C0008736	['chymopapain']
C0008737	[]
C0008738	[]
C0008740	[]
C0008741	[]
C0008742	['chymotrypsin']
C0008744	[]
C0008745	['chymotrypsin C']
C0008746	[]
C0008747	['Chymotrypsinogen A']
C0008748	[]
C0008776	[]
C0008831	[]
C0008855	['Citrate (si)-Synthase']
C0008861	[]
C0008864	['citrulline']
C0008897	[]
C0008905	[]
C0008988	[]
C0008989	[]
C0008991	[]
C0009036	[]
C0009053	['collagenase Clostridium histolyticum']
C0009082	[]
C0009083	[]
C0009109	[]
C0009118	[]
C0009140	['CoASH']
C0009147	['Cobalophilin']
C0009148	['cobalt']
C0009150	[]
C0009154	[]
C0009156	['Cobamides']
C0009165	[]
C0009185	['coccidioidin']
C0009223	[]
C0009226	['coenzyme A']
C0009227	['Coenzyme A Ligases']
C0009228	[]
C0009235	[]
C0009282	[]
C0009283	[]
C0009284	[]
C0009285	[]
