C0812312	[]
C0812313	[]
C0812314	[1, 5, 12]
C0812315	[]
C0812317	[1, 8]
C0812324	[]
C0812325	[0]
C0812327	[1]
C0812329	[]
C0812372	[]
C0812375	[]
C0812376	[8, 13]
C0812377	[5, 12, 17]
C0812379	[14]
C0812380	[]
C0812381	[14]
C0812382	[0, 1, 9, 16, 22]
C0812383	[]
C0812384	[3, 10]
C0812385	[5, 15, 21]
C0812443	[22, 25]
C0812444	[]
C0812445	[0, 11, 20]
C0812446	[11]
C0812448	[]
C0813143	[8]
C0872147	[1, 3, 4, 8, 10]
C0872189	[]
C0872331	[]
C0879290	[8, 18, 21]
C0879338	[1, 5]
C0879389	[9, 15, 20, 23]
C0879390	[18]
C0879391	[11, 21]
C0879392	[10, 16]
C0879393	[7, 16, 20]
C0879468	[12, 15, 19, 26, 33]
C0879590	[1, 2, 4, 11, 13, 18]
C0879609	[0]
C0887817	[]
C0887860	[]
C0906566	[3]
C0919336	[1, 2]
C0919338	[]
C0919420	[]
C0919425	[6, 12, 15]
C0919426	[5, 11]
C0919427	[4, 5, 10, 12, 17]
C0919428	[11, 17, 22]
C0919429	[3, 8]
C0919430	[7, 8, 15, 16]
C0919432	[8, 13, 20]
C0919435	[]
C0919437	[1, 2, 3, 4]
C0919441	[13]
C0919442	[]
C0919445	[1, 17]
C0919447	[]
C0919449	[]
C0919451	[4, 10, 13, 18]
C0919453	[1, 3, 4, 5, 6]
C0919455	[13]
C0919457	[4, 11, 18]
C0919458	[2, 8, 10]
C0919463	[]
C0919466	[9, 12]
C0919472	[]
C0919476	[]
C0919477	[12, 13]
C0919478	[11]
C0919479	[16]
C0919481	[0, 1, 6]
C0919487	[3, 8]
C0919490	[10, 15]
C0919496	[15]
C0919499	[]
C0919505	[2]
C0919506	[3, 13]
C0919507	[7, 10, 13]
C0919508	[1, 6, 8]
C0919509	[7, 16]
C0919511	[0]
C0919516	[6]
C0919521	[19, 21]
C0919524	[1, 3, 12, 14, 16, 23]
C0919528	[12, 19, 22, 26]
C0919533	[]
C0919534	[2, 3, 10, 15, 16]
C0919538	[0, 6, 14]
C0919539	[]
C0919542	[]
C0919550	[5, 10, 14]
C0919551	[0, 1]
C0920268	[]
C0920270	[]
C0920274	[2, 12, 19]
C0920288	[]
C0935660	[0]
C0935661	[1]
C0935881	[]
C0935995	[]
C0935996	[1, 2]
C0949485	[]
C0949486	[]
C0949487	[]
C0949488	[]
C0949489	[]
C0949545	[]
C0949635	[]
C0963396	[]
C0964742	[]
C0969653	[]
C0971864	[]
C1134446	[9, 11]
C1134448	[]
C1134711	[1]
C1135159	[1, 7, 9, 14, 15]
C1135166	[]
C1136352	[0, 1]
C1136365	[]
C1136366	[]
C1136377	[]
C1138393	[]
C1141648	[]
C1176140	[7, 8, 13]
C1257744	[]
C1257745	[]
C1257769	[]
C1257902	[9, 12]
C1317410	[]
C1317721	[]
C1317751	[]
C1321760	[0]
C1321914	[6, 16]
C1325331	[14, 22]
C1327768	[]
C1327771	[24, 26]
C1327772	[3]
C1327773	[]
C1327780	[]
C1327784	[0]
C1327810	[4, 8, 9]
C1327811	[1]
C1327812	[0]
C1327882	[3, 6, 7]
C1327938	[0]
C1328027	[1]
C1328030	[]
C1328053	[1, 2, 3, 6, 11, 12]
C1328912	[]
C1332001	[17]
C1332002	[2]
C1332005	[7]
C1332008	[6, 8]
C1332009	[14]
C1332010	[4, 9]
C1332011	[14]
C1332012	[8, 15]
C1332013	[5]
C1332015	[]
C1332017	[10]
C1332018	[10, 11]
C1332020	[10]
C1332022	[]
C1332025	[2, 7]
C1332026	[]
C1332027	[]
C1332028	[8]
C1332029	[6]
C1332030	[8, 15]
C1332034	[]
C1332036	[6, 7]
C1332065	[1, 4]
C1332070	[8, 13, 17]
C1332071	[6, 11]
C1332072	[20, 35]
C1332073	[11]
C1332074	[1, 5, 12]
C1332075	[0, 2, 11]
C1332076	[0, 6, 11, 15]
C1332077	[]
C1332080	[4, 6, 8, 18]
C1332082	[1, 9, 11]
C1332083	[7, 8, 11, 12]
C1332084	[2]
C1332086	[6, 11]
C1332088	[1, 3]
C1332089	[1, 3, 7]
C1332090	[]
C1332091	[]
C1332093	[]
C1332095	[2, 4, 13]
C1332096	[]
C1332098	[0, 8, 9, 10, 13, 14]
C1332100	[]
C1332101	[11]
C1332102	[3, 4, 9, 17, 19, 21, 26]
C1332104	[]
C1332105	[21]
C1332109	[2, 10]
C1332110	[1, 6, 15]
C1332111	[]
C1332112	[8, 15]
C1332114	[8, 13, 17]
C1332115	[7]
C1332116	[2, 11]
C1332117	[8, 9, 10]
C1332118	[4, 17]
C1332119	[1]
C1332120	[0, 9]
C1332121	[]
C1332122	[10]
C1332123	[10]
C1332124	[3, 6, 11, 14]
C1332125	[1, 12]
C1332126	[0, 2, 7, 14, 16]
C1332127	[8, 13, 17]
C1332163	[]
C1332237	[]
C1332321	[]
C1332323	[]
C1332324	[]
C1332364	[]
C1332371	[9]
C1332372	[3, 8]
C1332373	[8]
C1332374	[6, 15]
C1332375	[]
C1332376	[6]
C1332378	[4, 9, 10, 15]
C1332379	[9]
C1332380	[2, 16]
C1332381	[9]
C1332386	[]
C1332387	[]
C1332388	[7]
C1332389	[3, 7]
C1332390	[6]
C1332391	[]
C1332397	[0, 1, 3, 9, 12, 17, 20]
C1332398	[10]
C1332399	[8]
C1332400	[]
C1332402	[4, 12]
C1332403	[3]
C1332407	[6, 11]
C1332408	[1, 2, 6, 7, 8, 10]
C1332409	[]
C1332410	[1, 10]
C1332411	[11]
C1332412	[9, 14, 17]
C1332413	[10, 12]
C1332414	[4, 5, 15, 16, 18]
C1332415	[17, 18, 20]
C1332416	[4, 6, 10, 15, 18, 19]
C1332417	[14, 16]
C1332418	[6, 11, 19]
C1332419	[10]
C1332420	[3]
C1332421	[13, 18]
C1332422	[7, 9]
C1332423	[1, 6, 8]
C1332424	[2, 7, 11]
C1332425	[2, 7]
C1332426	[8, 10]
C1332427	[7, 9]
C1332428	[7, 9]
C1332430	[]
C1332431	[3, 10, 11]
C1332433	[9]
C1332435	[0, 12, 14, 15]
C1332436	[11]
C1332438	[4]
C1332440	[]
C1332444	[]
C1332447	[]
C1332448	[1, 3]
C1332449	[]
C1332450	[]
C1332451	[14]
C1332452	[]
C1332453	[1, 9]
C1332455	[2, 5, 10]
C1332461	[]
C1332546	[]
C1332589	[]
C1332590	[]
C1332656	[5, 6, 10, 13, 15, 16, 17, 18, 20, 23]
C1332658	[]
C1332659	[7, 11, 13]
C1332660	[14, 16]
C1332661	[3, 7]
C1332662	[7, 8]
C1332664	[6, 8]
C1332665	[7, 8]
C1332666	[6, 7]
C1332667	[0, 10, 11]
C1332668	[10, 11]
C1332669	[3, 8, 11]
C1332670	[8]
C1332671	[12]
C1332672	[16]
C1332673	[6, 8]
C1332675	[7, 9]
C1332676	[0, 7, 11, 12, 13]
C1332677	[8]
C1332678	[0, 7]
C1332679	[9]
C1332680	[1, 9, 11]
C1332681	[3, 11, 14]
C1332682	[10]
C1332683	[0, 8, 10, 13]
C1332684	[2, 10, 12]
C1332685	[10, 12]
C1332686	[7]
C1332687	[3, 8, 16]
C1332688	[2, 7]
C1332689	[7]
C1332690	[0, 2, 7, 9]
C1332691	[1, 8, 10]
C1332692	[8, 10]
C1332693	[8, 10]
C1332694	[4, 9, 12]
C1332695	[9, 10, 12, 13]
C1332696	[6, 8]
C1332697	[11, 14]
C1332698	[2, 7, 10]
C1332699	[0, 8]
C1332700	[1, 9, 10, 14]
C1332701	[0, 24]
C1332702	[7]
C1332703	[0, 3, 8]
C1332704	[6, 8]
C1332705	[11]
C1332706	[]
C1332707	[5, 14]
C1332708	[1, 12]
C1332709	[4, 8, 13]
C1332710	[1, 11]
C1332711	[12]
C1332712	[4, 11]
C1332713	[7, 15, 22, 23]
