C0001630	[7, 11, 12, 13]
C0001676	[]
C0001678	[1]
C0001707	[6, 7]
C0001723	[4, 16, 17]
C0001727	[3, 5]
C0001733	[11, 13]
C0001748	[2, 4]
C0001752	[1, 2, 6, 7]
C0001768	[2, 15]
C0001787	[7]
C0001815	[12, 14, 97, 98, 99]
C0001816	[15, 19]
C0001818	[23]
C0001819	[]
C0001824	[18, 19, 24]
C0001825	[6, 10]
C0001828	[]
C0001849	[45, 46]
C0001857	[19]
C0001860	[13]
C0001882	[]
C0001883	[5, 9, 10, 12, 15, 17, 27]
C0001889	[6, 7, 11]
C0001890	[]
C0001906	[7]
C0001916	[21, 22, 27, 28]
C0001940	[]
C0001950	[]
C0001956	[5, 6, 7, 8, 9]
C0001957	[30, 31, 40]
C0001969	[11, 12, 13, 17, 21, 27, 31, 32]
C0001973	[2, 12, 13, 15, 20, 21, 27, 32, 33, 36, 62, 63, 70, 71, 72, 78, 79]
C0002016	[2, 5]
C0002018	[11, 13]
C0002019	[]
C0002020	[3, 8]
C0002063	[17, 25]
C0002066	[0, 14, 18]
C0002098	[]
C0002103	[]
C0002104	[]
C0002106	[]
C0002136	[]
C0002170	[28, 30, 33, 34, 35, 36, 48, 62, 67, 68, 72, 78, 80]
C0002171	[8, 12, 14, 28, 31]
C0002173	[17]
C0002175	[]
C0002176	[]
C0002178	[]
C0002179	[]
C0002180	[]
C0002181	[1]
C0002182	[3, 4]
C0002312	[7, 21, 22, 23, 26, 30, 32, 33]
C0002351	[11, 12, 22]
C0002382	[4, 5, 6, 19]
C0002390	[2, 31, 34, 35, 47, 48, 49]
C0002395	[3, 5, 17, 18, 26, 27, 45, 46, 50, 59, 60, 63, 69, 71, 79]
C0002418	[23, 24, 28, 29]
C0002419	[]
C0002438	[41]
C0002441	[]
C0002445	[6]
C0002448	[1, 11, 15, 17]
C0002514	[4, 11, 16, 28, 30]
C0002534	[]
C0002622	[19, 21, 25, 29, 35, 36]
C0002623	[6, 7, 8]
C0002624	[9, 15]
C0002625	[0, 11, 14, 16]
C0002631	[]
C0002636	[7, 10]
C0002693	[]
C0002726	[2, 3, 4, 5, 8, 9, 35, 37]
C0002735	[8, 16]
C0002736	[0, 8, 24, 26, 27, 36, 46, 50]
C0002757	[]
C0002768	[12]
C0002792	[1, 3, 4, 20, 25]
C0002793	[2, 4, 10, 11]
C0002796	[]
C0002797	[0, 12, 13]
C0002831	[10]
C0002871	[6, 7, 11, 47, 48, 49, 58, 59]
C0002873	[0, 1, 8, 25, 27]
C0002874	[12, 39, 41, 44, 55]
C0002875	[13, 14, 15, 18, 47, 64, 75]
C0002876	[7, 20, 25, 27]
C0002878	[9, 14, 15, 19, 33, 36, 39, 43]
C0002879	[20]
C0002880	[13, 17, 18, 34, 35, 37]
C0002881	[22, 39, 58]
C0002882	[5]
C0002883	[]
C0002884	[9, 18]
C0002886	[17, 28, 32]
C0002888	[14, 27, 29, 31, 35]
C0002889	[]
C0002890	[32, 34]
C0002891	[16]
C0002892	[50, 65, 66, 69]
C0002893	[3, 11, 25]
C0002894	[14, 16, 36]
C0002895	[48, 55, 56, 72, 79, 80, 95, 96, 97, 99, 100, 111, 116, 119, 120]
C0002896	[26, 27, 40, 43, 45, 47]
C0002897	[]
C0002898	[]
C0002899	[]
C0002949	[8, 9, 10, 12, 14, 16, 22, 23, 24, 25]
C0002950	[4]
C0002959	[2, 3, 9, 11, 12, 13, 21, 22]
C0002963	[15, 38, 41, 42]
C0002965	[11, 52, 56, 57, 70, 71, 72]
C0002982	[0, 5, 7]
C0002983	[]
C0002985	[5, 12, 14, 15]
C0002986	[11, 14, 15, 25, 56, 59, 61, 63, 72]
C0002989	[]
C0002991	[25, 26, 31, 41, 48, 51]
C0002992	[6, 10]
C0003028	[20, 23, 30]
C0003047	[0, 1, 2, 6]
C0003081	[13, 15]
C0003089	[]
C0003099	[]
C0003102	[]
C0003107	[]
C0003113	[13, 17, 22, 52]
C0003123	[0, 1, 26, 27, 29, 30, 32, 33, 34, 35]
C0003125	[24, 26, 27]
C0003128	[5, 15]
C0003152	[]
C0003164	[]
C0003165	[10, 11, 20, 53, 54]
C0003175	[2, 3, 20, 22, 30, 33]
C0003177	[14, 15]
C0003178	[]
C0003257	[]
C0003431	[13, 15, 16, 19, 20, 21, 24, 60, 61, 67, 71, 73, 77, 78, 81]
C0003460	[15, 16]
C0003462	[3, 6]
C0003463	[11]
C0003467	[1, 2, 7, 36, 45, 48, 50, 54, 55]
C0003469	[16, 19, 20, 28, 29, 30, 32, 33, 36]
C0003471	[]
C0003476	[]
C0003477	[7, 19, 20, 22, 25, 26]
C0003486	[12, 27, 28, 29, 30, 31, 32]
C0003490	[]
C0003493	[1, 2, 5, 6, 7, 8]
C0003496	[1, 2, 5]
C0003499	[15, 16, 22, 27, 29, 33]
C0003502	[]
C0003504	[1, 9, 12, 14, 15, 24, 25, 26, 36, 41, 44, 47]
C0003505	[2]
C0003507	[5, 10, 11, 20, 26, 28, 34]
C0003509	[13, 16]
C0003510	[]
C0003511	[21]
C0003537	[2, 27, 29]
C0003546	[1]
C0003550	[32, 34, 50]
C0003614	[0, 1, 2, 3, 4, 6, 7, 9, 20]
C0003615	[0, 3, 12, 17]
C0003621	[1]
C0003635	[11, 16, 19, 30, 32]
C0003650	[]
C0003708	[20, 21]
C0003721	[]
C0003723	[0]
C0003742	[35]
C0003756	[]
C0003810	[3]
C0003811	[28, 30, 35, 36, 38, 51, 52, 54, 58, 61, 62, 65, 77, 79, 80, 88, 89, 95, 96, 97]
C0003834	[6]
C0003838	[2, 5, 6, 17, 21]
C0003848	[]
C0003850	[20, 21]
C0003851	[3, 6]
C0003861	[]
C0003864	[0, 1, 2, 33, 36, 46, 47, 49, 50]
C0003868	[15, 18, 20, 25, 33]
C0003869	[24]
C0003872	[5, 13, 41, 42, 43, 53]
C0003873	[11, 17, 42, 46, 48, 49]
C0003874	[]
C0003875	[13]
C0003886	[10, 12, 17, 19, 23, 32, 38, 67]
C0003890	[]
C0003892	[10, 12, 13, 15, 51]
C0003907	[17]
C0003910	[0, 2, 6, 7, 8, 10, 23, 26]
C0003944	[3]
C0003949	[21, 22]
C0003950	[16, 19, 25]
C0003952	[]
C0003962	[1, 42, 44, 55]
C0003969	[10, 33, 35]
C0003977	[]
C0004030	[20, 22, 27, 29, 30, 32, 34]
C0004031	[2, 3, 7, 15, 17, 18]
C0004032	[10, 11]
C0004045	[6, 22, 24, 28, 30, 38, 39, 40]
C0004046	[]
C0004058	[]
C0004090	[10]
C0004095	[13, 14, 17, 25, 39, 42, 49, 53, 55, 56]
C0004096	[0, 38, 43, 51, 52, 53, 56, 60, 62]
C0004099	[20]
C0004106	[22, 23]
C0004114	[0, 25, 30, 31, 35, 37]
C0004135	[1, 6, 7, 24, 25, 26, 29, 33, 35, 37, 39, 40, 41]
C0004138	[24, 30]
C0004153	[2, 3, 26, 27, 30, 31, 34]
C0004155	[]
C0004158	[3, 6, 29]
C0004186	[]
C0004187	[]
C0004238	[2, 4, 5, 6, 7, 31, 33, 34, 36]
C0004245	[18, 21, 22, 25, 26, 31, 38, 40, 41]
C0004249	[]
C0004269	[]
C0004303	[]
C0004310	[12, 13, 16]
C0004352	[22, 25, 28, 46, 47, 48, 49, 50, 52, 54, 59, 75, 80]
C0004364	[0, 14, 20, 21, 27, 29, 30, 39, 42, 43, 46, 47, 48, 49, 50]
C0004402	[]
C0004421	[2, 3, 5]
C0004426	[1]
C0004443	[]
C0004444	[12, 14, 15, 17, 19, 20]
C0004468	[]
C0004509	[22, 23]
C0004565	[3]
C0004576	[2, 3, 32, 35, 49, 50]
C0004606	[13, 16]
C0004608	[]
C0004610	[2, 3, 21, 22, 24, 25, 26]
C0004615	[]
C0004616	[]
C0004622	[]
C0004623	[4, 5, 6, 7, 8, 9, 29, 31, 33, 40, 42, 43, 45, 46, 51, 59]
C0004626	[6, 7, 8, 18]
C0004659	[14, 15]
C0004669	[]
C0004681	[]
C0004690	[16, 17]
C0004691	[11]
C0004692	[17]
C0004698	[0, 15]
C0004712	[5, 10, 21]
C0004763	[12, 13, 18, 21, 41, 42, 49]
C0004767	[5, 14, 20]
C0004769	[]
C0004771	[3, 7, 10, 22, 26]
C0004773	[]
C0004775	[12, 13, 14, 15, 26]
C0004779	[0, 17, 18, 19, 22, 33, 34, 36, 41, 42, 52, 58, 60, 61]
C0004782	[2, 3, 8, 10]
C0004812	[24]
C0004823	[]
C0004842	[]
C0004903	[20, 23, 25, 27, 49]
C0004930	[3, 6, 7, 16, 17, 18, 20, 21, 24, 27, 28]
C0004936	[6, 14, 15, 23, 25, 31, 33, 34, 35, 37, 38, 46, 48, 49, 50, 53, 54, 59, 61, 62, 66, 70, 71, 72, 73, 74, 79, 80, 81]
C0004943	[4, 8, 16, 19, 20, 22, 27, 28, 31, 42, 45]
C0004945	[6]
C0004991	[]
C0004992	[]
C0004994	[]
C0004997	[16, 18, 21]
C0004998	[18, 19, 20, 21]
C0005122	[18, 19]
C0005129	[17, 18]
C0005137	[]
C0005146	[4]
C0005283	[5, 7, 21, 22, 24, 32, 35, 39, 51, 52]
C0005395	[2, 6, 9]
C0005396	[5, 9]
C0005398	[9, 17]
C0005403	[1, 2, 3]
C0005416	[4, 8, 9]
C0005424	[5, 7, 9, 12, 13]
C0005426	[4, 11]
C0005443	[]
C0005461	[2]
C0005586	[5, 12, 13, 35, 38, 39, 43, 44, 45, 46, 49, 56, 67, 89]
C0005587	[6, 9, 10]
C0005591	[0, 1, 2, 3]
C0005592	[]
C0005681	[12]
C0005683	[1, 8, 12, 14, 15, 18, 19, 20, 41, 42, 59, 64, 66, 68]
C0005684	[0, 12, 16, 17, 27, 71]
C0005686	[1, 2, 4, 11, 15, 32]
C0005689	[11, 13, 14]
C0005694	[11, 13, 22, 25, 26]
C0005695	[0, 9, 11, 13, 14, 19, 20, 21, 23, 24, 45, 55, 56]
C0005697	[23, 25, 26, 37]
C0005699	[6, 8, 9, 22, 23]
C0005716	[20, 23]
C0005717	[10]
C0005721	[]
C0005723	[]
C0005724	[]
C0005741	[20, 21, 26, 37]
C0005742	[11, 13]
C0005743	[10]
C0005745	[9, 10, 19, 20, 22, 23, 30, 49]
C0005747	[22, 23, 30]
C0005750	[29, 31]
C0005779	[0, 3, 4, 5, 6, 7, 8, 10, 16, 24, 27, 29, 32, 40, 46, 47, 48, 50, 52, 53, 59, 62, 81]
C0005806	[3]
C0005818	[20, 22, 27, 28, 43]
C0005830	[]
C0005859	[0, 11, 15, 17, 20, 29]
C0005866	[1, 5, 6]
C0005887	[13, 14, 15, 22, 39]
C0005940	[0, 2, 3, 7, 8, 14, 16, 17, 18, 25, 28, 35, 36, 37]
C0005941	[8, 9, 11]
C0005942	[]
C0005943	[]
C0005944	[4, 11, 14, 15, 16, 17, 19, 20, 22]
C0005956	[2, 7, 15]
C0005967	[9, 12, 15, 17, 18, 19, 20, 22, 23, 28, 30, 36, 37]
C0006008	[0, 1]
C0006009	[10]
C0006012	[0, 19, 20, 22, 23, 24, 25, 26]
C0006015	[]
C0006023	[0, 1]
C0006035	[3, 11, 13]
C0006039	[]
C0006060	[24, 26, 27]
C0006075	[]
C0006079	[8, 16, 21]
C0006091	[1, 3]
C0006105	[14, 17, 18, 19]
C0006109	[3, 12]
C0006111	[0, 2, 3, 4, 7, 8, 13, 14, 16, 17, 26, 28, 31]
C0006112	[21, 26, 31, 32]
C0006118	[11, 17, 31, 32, 34, 36, 37, 38, 41, 43, 44]
C0006123	[3, 6, 7]
C0006142	[12, 16, 31, 33, 66]
C0006145	[1, 2, 8, 14, 18, 23, 35, 37]
C0006160	[]
C0006181	[6]
C0006234	[]
C0006261	[2, 5]
C0006264	[6, 8, 10]
C0006266	[28, 29, 32]
C0006267	[27, 28]
C0006271	[15, 16]
C0006272	[0, 4, 12, 14, 16, 28, 29]
C0006274	[3, 4]
C0006277	[24]
C0006285	[2, 20, 21]
C0006287	[2, 3, 15, 17, 18]
C0006309	[0, 1, 2, 25, 26, 59, 60]
C0006325	[15, 22, 45, 55, 59]
C0006370	[15]
C0006384	[16, 17, 32, 33, 34, 43, 44]
C0006389	[]
C0006391	[]
C0006396	[]
C0006413	[1, 17, 41, 42, 71]
C0006429	[1]
C0006430	[5, 8, 9, 16, 25]
C0006433	[2, 4, 5, 6]
C0006444	[20, 21]
C0006542	[20, 22]
C0006646	[]
C0006647	[5, 6]
C0006664	[9, 11]
C0006666	[9, 12]
C0006705	[0]
C0006739	[]
C0006741	[]
C0006742	[]
C0006818	[0, 5, 8]
C0006826	[2, 24, 35, 36, 37, 38, 45, 77, 78, 79, 84, 87, 88, 89, 91, 92, 93]
C0006840	[3, 4, 5, 7, 8, 9, 13, 15, 41, 42, 48, 49]
C0006842	[]
C0006845	[9, 11, 13]
C0006846	[17]
C0006848	[4, 7]
C0006849	[39, 41, 42, 53, 54, 72]
C0006852	[27, 28, 29, 34, 42]
C0006866	[]
C0006868	[9, 11]
C0006870	[10, 11, 12, 28]
C0006895	[6, 8]
C0006897	[12]
C0006899	[]
C0006902	[2, 4]
C0006905	[]
C0006915	[]
C0007001	[]
C0007078	[15, 19]
C0007079	[]
C0007093	[2, 5]
C0007095	[17, 19, 20, 24, 25, 26, 32, 34, 36, 37, 41, 43, 44, 45]
C0007097	[14, 18, 26, 27, 28, 30, 42]
C0007098	[]
C0007099	[12, 17, 19, 20, 29, 34, 36, 37, 39, 41]
C0007100	[]
C0007102	[1, 9, 10, 15, 31, 32, 33, 37, 39, 40, 71]
C0007103	[]
C0007104	[9]
C0007107	[9, 29, 32, 65]
C0007112	[5, 9, 10, 16, 18, 19, 20, 24]
C0007113	[5, 6, 13, 32, 33, 34, 35, 39, 42, 44]
C0007114	[7, 8, 32, 39, 40, 55, 56, 57, 61, 62, 63]
C0007115	[19, 21, 31, 32, 41]
C0007117	[]
C0007118	[15, 16, 21]
