C0007430	[10, 11, 18, 0, 1, 2, 5, 7, 8, 13, 17, 19, 21, 22, 23]
C0007431	[0, 16, 2, 4, 20, 24]
C0007435	[0, 1, 2, 3, 4, 5, 7, 13, 17, 19, 20, 6, 12, 15, 16]
C0007437	[0, 1, 2, 3, 4, 5]
C0007471	[0, 7, 10, 14, 22, 11, 13, 18, 19, 21, 24, 25]
C0007474	[0, 1, 4, 7, 8, 9, 13, 14, 17, 19, 20]
C0007530	[0, 6, 11, 15]
C0007656	[0, 2, 1]
C0007778	[0, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19]
C0007794	[0, 2, 3, 7, 11, 12, 13, 14, 1, 9]
C0007812	[0, 5, 7, 8, 19, 20, 6]
C0007876	[0, 1, 5, 9, 17, 21, 28, 52, 55, 67, 73, 76, 6, 7, 8, 14, 16, 19, 25, 26, 27, 29, 32, 33, 34, 37, 38, 42, 43, 44, 64, 65, 66, 68, 69]
C0007878	[0]
C0007975	[0, 2, 8, 10, 6, 7]
C0007979	[0, 3, 4, 7, 14]
C0007988	[0, 1, 2, 3, 4]
C0007993	[0, 1, 2, 3]
C0008320	[0, 4, 14, 1, 5, 26, 27, 35]
C0008321	[0, 4]
C0008322	[0, 2]
C0008323	[0, 1]
C0008338	[0]
C0008339	[0, 4, 5, 6, 10]
C0008342	[0, 5, 10, 11, 14]
C0008343	[0, 1, 5, 6, 10, 11]
C0008346	[0, 5]
C0008819	[0, 20, 22, 23, 24, 29, 12, 19, 21, 25, 27, 28]
C0008821	[0]
C0008971	[0, 2, 3, 10, 11, 1, 4, 6, 8]
C0009039	[0]
C0009068	[0, 1, 6, 7, 10, 11]
C0009244	[0, 1, 3, 4, 6, 7, 12, 13, 20, 22, 29, 32, 36, 37, 44, 45, 48, 53, 55, 63, 66, 69, 70, 71, 72, 73, 76, 77, 78, 79, 80, 11, 25, 27, 28, 31, 35, 38, 39, 41, 43, 49, 58, 59, 60, 61, 75]
C0009274	[0, 9, 10, 24, 25, 26, 27, 1, 18, 21]
C0009345	[0, 1, 3, 4]
C0009355	[0, 2]
C0009410	[0, 6, 14, 22, 23]
C0009411	[0, 1]
C0009416	[0, 7, 3, 4]
C0009418	[0, 2, 12, 13, 3]
C0009429	[7, 9, 10, 19, 20, 22, 25, 32, 33, 34, 35, 0, 4, 5, 6, 12, 16, 18, 21, 23, 24, 26, 28, 29, 30, 31]
C0009557	[0]
C0009558	[0, 2]
C0009813	[0, 1, 3, 2, 4]
C0009870	[0, 1, 3, 5, 7, 4]
C0009953	[0, 2, 3, 6, 8, 12, 13, 15, 16, 5, 9]
C0009957	[0]
C0010009	[0, 1, 3, 6, 8, 9, 12, 16, 17]
C0010042	[1, 3, 9, 11, 25, 27, 31, 32, 33, 39, 42, 48, 49, 50, 51, 0, 2, 7, 8, 10, 20, 22, 23, 26, 28, 29, 34, 45, 46]
C0010049	[0, 1, 2]
C0010055	[0, 6, 10, 11, 12, 14, 15, 16, 17, 18, 57, 62, 63, 68, 74, 20, 26, 38, 39, 44, 45, 52, 53, 55, 59, 60, 65, 66, 70, 72, 73, 75, 79, 82]
C0010163	[0, 1, 2, 3, 5, 6, 7, 8]
C0010216	[0, 1]
C0010217	[0, 3, 4]
C0010280	[0, 7, 1, 16, 17]
C0010332	[0, 5, 6, 14, 18, 11, 12, 13, 15]
C0010401	[0, 2, 11]
C0010408	[0, 3, 14, 21, 30, 31, 13, 39, 40]
C0010412	[0, 1, 5, 6, 16, 18, 8, 11]
C0010468	[0, 3, 5, 11, 8, 10]
C0010469	[0]
C0010470	[0]
C0010471	[0]
C0010651	[0, 3, 8, 4, 14, 15]
C0010700	[0]
C0010705	[0, 2, 3, 10, 11, 8, 9, 15, 16]
C0010931	[0, 2, 9, 10, 11, 14, 17, 18]
C0010932	[0, 1, 2]
C0010962	[0, 4, 8, 9, 2, 7]
C0011079	[0, 7, 8, 14, 9, 15]
C0011080	[0]
C0011081	[0]
C0011121	[6, 0, 8, 10]
