C0079419	[1, 2, 3, 4, 8, 11, 22, 23, 26, 0, 6, 13, 14, 17, 31, 36, 38]
C0079420	[0, 1, 2, 3, 4, 5, 6, 7, 8]
C0079423	[0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 15, 8, 16]
C0079424	[0, 1, 2, 3, 5, 7, 9, 11, 12, 4, 6, 10]
C0079425	[0, 1, 2, 4]
C0079427	[0, 1, 4, 8, 12, 14, 16, 18, 19, 20, 21, 22, 23, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 41, 43, 45, 47, 48, 54, 55, 5, 9, 15, 36, 51, 52, 53, 56, 57, 58, 59, 61]
C0079428	[0, 1, 2, 4]
C0079429	[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 3]
C0079431	[0, 1, 2, 3]
C0079433	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
C0079471	[0, 7]
C0079472	[0, 1, 2, 3, 4]
C0079473	[0, 1, 2]
C0079525	[0, 1, 2, 3, 4, 5, 6]
C0079556	[0, 1, 2, 3, 5, 6, 7]
C0079559	[0, 1, 2, 3, 5, 6, 7]
C0079563	[0, 1, 2, 3, 5, 6, 7]
C0079566	[0, 1, 2, 3, 5, 6, 7]
C0079656	[0, 1, 2, 3, 4]
C0079657	[0, 1, 2]
C0079664	[0, 1, 2, 3, 4]
C0079666	[0, 1, 2, 3, 4]
C0079884	[0, 1, 2, 3, 4]
C0079886	[0, 1, 2, 3, 4]
C0079941	[0, 2, 3, 5, 6, 8, 12, 13, 16, 18, 20, 22, 23, 24, 25, 1, 4, 7, 10, 11, 15, 17]
C0080117	[0, 1, 2, 3, 4]
C0080279	[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]
C0080282	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]
C0080285	[0, 1, 2]
C0080286	[0, 2, 3]
C0080287	[0, 1, 2, 3, 4]
C0080288	[0, 1, 2]
C0080289	[0, 2, 3]
C0080290	[0, 1, 2]
C0080291	[0, 1, 2, 3, 4]
C0080292	[0, 1, 2]
C0080293	[0, 1, 2, 4, 5]
C0080294	[0, 1, 2, 3, 4]
C0080295	[0, 1, 2, 4, 5]
C0080296	[0, 1, 2, 3, 4]
C0080298	[0, 8, 9, 14, 20]
C0085113	[0, 1, 2, 3, 4, 5, 6, 13, 14, 20, 21, 25, 8, 10, 22, 30, 31]
C0085114	[0, 3, 4, 5, 6, 7, 8, 13, 14, 20, 21, 26, 27, 31, 9, 10, 18, 28, 37]
C0085218	[0, 1, 2, 4, 5, 6, 8, 17, 18, 21, 22, 13, 14, 16]
C0085238	[0, 1, 4, 7, 8, 2, 3, 5, 6]
C0085239	[0, 1, 3, 4, 5]
C0085286	[0, 1, 2, 3, 4, 5, 6, 7]
C0085299	[0, 1, 2, 3]
C0085303	[0, 1, 2, 4, 5]
C0085940	[0, 1, 4, 6, 7, 8, 9, 3, 5, 10]
C0085943	[0, 1, 2]
C0086344	[0, 1]
C0086661	[0, 9, 13, 14, 26, 27, 3, 4, 11, 16, 22]
C0087140	[0, 5, 15, 16, 21, 22, 23, 25, 1]
C0087142	[0, 2, 3]
C0087143	[0, 1, 2]
C0144382	[2, 0, 3]
C0162508	[0, 7, 11, 12, 22, 23, 2, 3, 4, 19]
C0162572	[0, 1, 2, 3]
C0162667	[0, 1, 2, 3]
C0162728	[0, 2, 4, 6, 5, 7]
C0162729	[0, 1, 2, 3]
C0162804	[0, 1, 3, 4, 6, 12]
C0162832	[0, 7, 8, 12, 29, 30, 31, 1, 21]
C0178657	[1, 2, 4, 6, 0]
C0178868	[0, 1]
C0206256	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 6]
C0206414	[0, 1, 3, 6, 4, 5]
C0206522	[0, 1, 3, 2]
C0221127	[0]
C0242303	[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 9]
C0242711	[0, 1, 2, 3]
