C0016109	[4, 5, 8, 12, 14]
C0016125	[6, 7, 8, 9, 10, 28, 30, 31, 33, 37]
C0016129	[1, 21, 25, 40, 41, 42]
C0016504	[3, 4, 13, 18, 24, 25, 26]
C0016505	[23, 24, 26, 28]
C0016519	[1, 3, 5]
C0016520	[5, 6, 7, 13, 15]
C0016536	[13, 25, 26]
C0016539	[]
C0016540	[5, 14, 16]
C0016555	[6, 10, 12]
C0016622	[12]
C0016732	[7, 10, 12, 14, 16]
C0016733	[0, 5, 8, 9, 10, 11, 24, 27, 29, 30, 31, 32]
C0016734	[11, 13, 14, 15]
C0016741	[1, 3, 5, 6]
C0016823	[1, 2, 3, 7, 16]
C0016976	[0, 1, 3, 19, 23]
C0017067	[5, 7, 11, 13, 16, 17]
C0017068	[6, 8]
C0017069	[]
C0017070	[2, 3, 6, 7, 10, 27, 28, 34, 36]
C0017071	[8, 10, 16, 18]
C0017129	[3, 15, 18, 22]
C0017130	[0, 3, 5, 6, 8, 9, 11]
C0017136	[3, 5, 8, 21]
C0017405	[8, 14, 15]
C0017406	[19, 20]
C0017420	[0, 1, 2, 3, 4, 6, 13, 15, 17, 22, 23, 24, 25]
C0017421	[4, 7, 11, 12, 13, 14, 15, 22, 24, 26]
C0017422	[1, 13, 14, 17, 18, 22, 23, 25, 26, 27, 32, 34, 36]
C0017558	[5, 7, 9, 10, 11]
C0017562	[8, 11, 13, 16, 17, 19, 26, 31, 33]
C0017651	[12, 13, 15, 28, 29]
C0017655	[5, 8]
C0017670	[0, 2]
C0017679	[2, 23, 27, 30, 38]
C0017681	[1, 13, 16]
C0018043	[4]
C0018067	[4, 7, 8, 9, 11, 15, 16, 18, 21]
C0018120	[11, 12, 16, 17, 18]
C0018180	[4, 6, 8, 10]
C0018220	[8, 9, 11, 12, 13, 14, 15, 16]
C0018246	[8, 14, 15, 24, 25, 29, 32]
C0018283	[3, 5, 8, 11, 13, 16, 24, 28, 29, 30, 31, 34, 35, 37]
C0018427	[9, 18]
C0018494	[2, 11, 16, 20, 23, 25, 26]
C0018534	[4, 5, 6, 8, 11, 18, 21, 24, 30, 32]
C0018563	[1, 9, 14, 23, 24, 25]
C0018597	[5, 11, 12]
C0018670	[0, 2, 7, 21, 25, 26, 27]
C0018787	[0, 1, 2, 4, 5, 6, 8, 9, 20, 25, 31]
C0018792	[3, 7, 8, 9, 17, 19, 22, 29, 31, 36]
C0018819	[5, 12, 17]
C0018826	[4, 7, 8, 10, 15, 16, 17, 21, 23, 24]
C0018827	[4, 5, 8, 15, 20, 32, 39, 40, 44]
C0018870	[11, 15, 18, 19]
C0019145	[2, 3, 13, 14, 15]
C0019149	[4, 5, 6, 7]
C0019155	[4, 8, 10, 14, 15]
C0019552	[1, 3, 7, 12, 13, 20, 23, 30, 31]
C0019558	[8, 15, 22, 24, 25, 26, 27]
C0019564	[3]
C0019908	[5, 7, 10, 11]
C0019909	[]
C0019939	[3, 4, 6, 7]
C0020164	[15, 19, 21]
C0020412	[6, 11, 12]
C0020417	[14, 15, 16, 18, 19, 20]
C0020613	[2, 3]
C0020614	[0, 24, 26, 27, 51]
C0020629	[2, 12, 17, 22, 27, 30]
C0020653	[4, 9]
C0020654	[23, 24, 32]
C0020663	[6, 13, 15, 18]
C0020664	[]
C0020669	[]
C0020670	[15, 20, 24]
C0020671	[]
C0020880	[3, 9, 12, 14]
C0020885	[2, 3, 4, 10, 19]
C0020887	[7, 8, 13, 15, 16]
C0020888	[4, 8, 9, 10, 11]
C0020889	[4, 6, 10, 20, 26]
C0021156	[4, 8, 9, 11, 13, 14]
C0021181	[4, 10]
C0021358	[19, 27, 29, 35]
C0021445	[10]
C0021640	[5, 15, 23, 26, 31, 32, 33, 34, 36, 38, 39]
C0021721	[3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16]
C0021724	[2, 4, 6, 7, 11]
C0021774	[]
C0021800	[3]
C0021815	[16, 17, 21, 22, 23, 24, 28, 29, 31]
C0021839	[4, 7, 9, 13, 15]
C0021851	[6, 10, 12, 25, 26, 27]
C0021852	[12, 15, 20, 28, 33, 34, 36, 38, 39]
C0021853	[6, 10, 11, 16, 17, 18, 24, 25, 34, 37, 39, 44, 46]
C0022077	[0, 2, 19, 20, 23]
C0022122	[6]
C0022131	[0, 1, 8, 11, 22, 23, 24, 26, 27, 34, 35, 40, 44, 48, 54, 56, 61, 64, 65, 68, 70, 72]
C0022359	[0, 5, 8, 13, 15, 16]
