C0004239	['MEDCIN', 'SNOMEDCT_US', 'LNC', 'MDR', 'CCS', 'MSH', 'MTH', 'CHV', 'HPO', 'ICD9CM', 'LCH_NW', 'MDR', 'MEDCIN', 'NCI', 'NCI_CTCAE', 'NCI_FDA', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'MSH', 'ICPC2ICD10ENG', 'MSH', 'MSH', 'ICPC2ICD10ENG', 'MDR', 'CHV', 'MSH', 'MSH', 'ICPC2P', 'MSH', 'MSH']
C0004258	['SNOMEDCT_US', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0004331	['MSH', 'MSH', 'OMIM', 'MDR', 'MEDCIN', 'MSH', 'MEDCIN', 'SNOMEDCT_US', 'NCI', 'NCI', 'MSH', 'MDR', 'HPO', 'ICPC2P', 'MDR', 'MEDCIN', 'NCI_CDISC', 'OMIM', 'SNOMEDCT_US', 'ICPC2P', 'NCI', 'NCI_CDISC', 'MSH', 'MSH', 'MSH', 'MTH', 'MSH', 'ICPC2ICD10ENG', 'MDR', 'MEDCIN', 'NCI_CDISC', 'MDR', 'MSH', 'MTHICD9', 'MSH', 'MSH', 'MTHICD9', 'MTHICD9', 'MTHICD9', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'MSH', 'MSH', 'MSH', 'ICD10CM', 'ICPC2ICD10ENG', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'ICD10CM', 'SNOMEDCT_US', 'SNOMEDCT_VET']
C0004366	['MSH', 'CHV', 'MSH', 'CHV']
C0004368	['SNOMEDCT_US', 'MTH', 'SNOMEDCT_US', 'NCI', 'MSH', 'MSH', 'CSP', 'HPO', 'LCH_NW', 'OMIM', 'HPO', 'NCI', 'SNOMEDCT_US']
C0004751	['SNOMEDCT_US', 'SNOMEDCT_US']
C0004766	['CHV', 'CHV', 'MDR', 'CHV', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'MEDCIN', 'MDR', 'ICD10', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'MEDCIN', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'ICPC2P', 'CHV', 'CHV', 'MDR', 'CHV', 'MDR', 'SNOMEDCT_US', 'CHV', 'MEDCIN', 'ICPC2P', 'ICPC2ICD10ENG', 'MTHICD9', 'SNOMEDCT_US', 'ICPC2ICD10ENG']
C0005136	['MSH', 'MSH', 'SNOMEDCT_US', 'SNOMEDCT_US', 'CSP', 'MEDLINEPLUS', 'MDR', 'MSH', 'MTH', 'CHV', 'NCI', 'SNOMEDCT_US', 'MEDLINEPLUS', 'MSH', 'CHV', 'NCI', 'SNOMEDCT_US']
C0005417	['ICPC2ICD10ENG', 'MEDCIN', 'MEDCIN', 'MDR', 'MSH', 'MTH', 'CHV', 'CSP', 'MDR', 'NCI', 'NCI_CTCAE', 'SNOMEDCT_US', 'MSH', 'CHV', 'MEDCIN', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MDR', 'ICD10', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'SNOMEDCT_US', 'MSH', 'LCH_NW', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'MSH', 'SNOMEDCT_US']
C0005959	['CHV', 'SNOMEDCT_US', 'CSP', 'NCI', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MDR', 'NCI', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'CHV', 'MDR', 'NCI']
C0006110	['MSH', 'CHV', 'MSH', 'MEDCIN', 'CSP', 'MDR', 'MSH', 'CHV', 'ICD10CM', 'ICD9CM', 'LCH_NW', 'MDR', 'MEDCIN', 'NCI', 'NCI_FDA', 'NCI_NICHD', 'CHV', 'CSP', 'CHV', 'MSH', 'CHV', 'MSH']
C0006114	['HPO', 'HPO', 'CHV', 'MEDCIN', 'SNOMEDCT_US', 'NCI_CTRP', 'MDR', 'MSH', 'MTH', 'CHV', 'HPO', 'ICD10AE', 'ICD10AMAE', 'ICD10CM', 'ICD9CM', 'LCH_NW', 'MEDCIN', 'NCI', 'NCI_FDA', 'NCI_NICHD', 'PDQ', 'SNOMEDCT_US', 'OMIM', 'MDR', 'ICD10', 'ICD10AM', 'SNOMEDCT_US', 'CHV', 'HPO', 'MDR', 'NCI_CTCAE', 'CHV', 'MTH', 'MSH', 'NCI', 'PDQ', 'CHV', 'MDR', 'CHV', 'HPO', 'CHV']
C0006119	['CHV', 'MTH', 'CHV']
C0006157	['MEDCIN', 'MSH', 'MSH', 'SNOMEDCT_US', 'MEDCIN', 'OMIM', 'HPO', 'MEDCIN', 'MEDCIN', 'MDR', 'CCS', 'MSH', 'MTH', 'CHV', 'HPO', 'ICPC2ICD10ENG', 'MDR', 'MEDCIN', 'NCI', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'CHV', 'ICPC2ICD10ENG', 'MEDCIN', 'MEDCIN', 'HPO', 'HPO', 'MSH', 'MSH', 'SNOMEDCT_US', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MSH', 'MSH', 'MSH', 'ICPC2ICD10ENG']
C0006663	['NCI', 'NCI_NCI-GLOSS', 'MSH', 'CHV', 'NCI_caDSR', 'MSH', 'CHV', 'SNOMEDCT_US', 'MDR', 'MSH', 'MTH', 'CHV', 'HPO', 'ICPC2ICD10ENG', 'MDR', 'NCI_NCI-GLOSS', 'SNOMEDCT_US', 'OMIM', 'HPO', 'NCI_FDA', 'SNOMEDCT_US', 'CHV', 'NCI_NCI-GLOSS', 'CSP', 'MSH', 'MDR', 'CHV']
