C0019184	['PEP', 'PM', 'PM', 'PM', 'PM', 'PM']
C0019185	['ET', 'PM', 'ET', 'PM', 'ET', 'ET', 'PM', 'FN', 'ET', 'PT', 'SCN', 'PM', 'ET', 'PM', 'FN', 'MH', 'PT', 'PT', 'PM']
C0019186	['LPDN', 'LPN', 'PM', 'PT', 'PT', 'PT', 'SY', 'MH', 'PN', 'PT', 'SY', 'SY', 'PM', 'PM']
C0019351	['SY', 'EQ', 'CN', 'ET', 'LPDN', 'LPN', 'PT', 'SY', 'SY', 'SY', 'EQ', 'EQ', 'SY', 'EQ', 'ET', 'PT', 'SY', 'ET', 'IN', 'MH', 'PN', 'ET', 'SY', 'SY', 'ET', 'ET', 'LA', 'SY', 'SY', 'SY', 'FN', 'ET', 'PT', 'SCN', 'SY', 'DN', 'EQ', 'ET', 'PT', 'PT', 'SU']
C0019369	['FN', 'PT', 'SY', 'SY', 'SY', 'LPDN', 'LPN', 'SY', 'MH', 'PN', 'PT', 'PT', 'SCN', 'SY', 'SY', 'SY', 'DN', 'PT', 'PT', 'ET', 'PT', 'SY', 'SY', 'SY', 'SY']
C0019376	['ET', 'MH', 'ET', 'EQ', 'SY', 'EQ', 'ET', 'PT', 'SY', 'PM', 'PM', 'SCN', 'FN', 'EQ', 'ET', 'PT', 'PT', 'EQ', 'ET', 'SY', 'PM', 'SY']
C0019378	['PM', 'ET', 'ET', 'PT', 'SY', 'PM', 'EQ', 'PT', 'FN', 'EQ', 'ET', 'ET', 'PT', 'SY', 'EQ', 'ET', 'ET', 'SY', 'PM', 'ET', 'SY', 'EQ', 'ET', 'ET', 'MH', 'PM', 'ET', 'SY', 'EQ', 'ET', 'SY', 'SY', 'PM', 'PM', 'ET', 'SCN', 'EQ', 'ET', 'CMN', 'ET', 'ET', 'SY', 'PM', 'PM', 'EQ', 'EQ', 'EQ', 'ET', 'SY', 'PM', 'SY']
C0019381	['SY', 'PM', 'PM', 'SY', 'ET', 'ET', 'EQ', 'EQ', 'IN', 'MH', 'PN', 'EQ', 'ET', 'SY', 'ET', 'PT', 'SY', 'SY', 'ET', 'ET', 'SY', 'ET', 'PM', 'ET', 'PM', 'ET', 'SCN', 'PM', 'SY', 'SY', 'SY', 'FN', 'EQ', 'EQ', 'ET', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'EQ', 'EQ', 'PT', 'SY', 'SY', 'SY', 'SY']
C0019682	['ET', 'ET', 'ET', 'SY', 'SY', 'PM', 'SY', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'ET', 'SY', 'LA', 'PT', 'FN', 'DN', 'ET', 'ET', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SY', 'SY', 'SY', 'ET', 'PM', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'PM', 'ET', 'PM', 'PM', 'ET', 'PM', 'SY', 'PM', 'ET', 'PM']
C0019704	['ET', 'PT', 'CN', 'ET', 'LPDN', 'LPN', 'SY', 'SY', 'MH', 'PN', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'EQ', 'DN', 'ET', 'MTH_CN', 'PT', 'PT', 'PT', 'SCN', 'EQ', 'EQ', 'SY', 'EQ', 'ET', 'SY', 'SY', 'EQ', 'FN', 'EQ', 'PT', 'EQ', 'SY', 'EQ', 'ET', 'ET', 'LLT', 'LLT', 'ET', 'SY']
C0019707	['ET', 'LPDN', 'LPN', 'SY', 'SY', 'EQ', 'SY', 'MH', 'PT', 'SY', 'SY', 'SY', 'ET', 'SY', 'ET', 'ET', 'PN', 'ET', 'PT', 'PT', 'PT', 'SCN', 'FN', 'EQ', 'EQ', 'ET', 'PT', 'EQ', 'SY', 'EQ', 'ET', 'ET', 'ET', 'ET', 'SY']
C0019842	['PM', 'LPDN', 'LPN', 'MH', 'SY', 'ET', 'SY', 'FN', 'ET', 'ET', 'PT', 'ET', 'ET']
C0020094	['ET', 'SY', 'ET', 'SY', 'ET', 'SY', 'ET', 'LPDN', 'LPN', 'SY', 'SY', 'DN', 'ET', 'LA', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'ET', 'PT', 'PM', 'ET', 'SYGB', 'ET', 'PT', 'SY', 'PT', 'SY', 'FN', 'MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'ET', 'ET', 'ET', 'SY']
