C0376515	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]
C0376571	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]
C0376622	[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
C0376623	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]
C0380093	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C0440471	[0, 1, 1, 1, 1, 1, 1]
C0440472	[0, 1]
C0440473	[1, 0]
C0440474	[1, 0]
C0440475	[1, 0]
C0440476	[1, 0]
C0440477	[1, 0]
C0440479	[1, 0]
C0440480	[1, 0]
C0440481	[1, 0]
C0440482	[1, 0]
C0440483	[1, 0]
C0440484	[1, 0]
C0440485	[1, 0]
C0440486	[1, 0]
C0440487	[1, 0]
C0440488	[1, 0]
C0440489	[1, 0]
C0440490	[1, 0]
C0440491	[1, 0]
C0440492	[1, 0, 0]
C0440493	[1, 0]
C0440494	[1, 0]
C0440495	[1, 0]
C0440496	[1, 0]
C0440497	[1, 0]
C0440498	[1, 0]
C0440499	[1, 0]
C0440500	[1, 0]
C0440501	[1, 0]
C0440502	[1, 0]
C0440503	[1, 0]
C0440504	[1, 0]
C0440505	[1, 0]
C0440506	[1, 0]
C0440507	[1, 0]
C0440508	[1, 0]
C0440509	[0, 0, 1]
C0440510	[1, 0]
C0440511	[1, 0]
C0440512	[1, 0]
C0440513	[1, 0]
C0440514	[1, 0]
C0440516	[1, 0]
C0440517	[1, 0]
C0440518	[1, 0]
C0440519	[0, 1]
C0440520	[1, 0]
C0440521	[1, 0]
C0440522	[1, 0]
C0440523	[1, 0]
C0440524	[1, 0]
C0440525	[1, 0]
C0440526	[0, 1]
C0440527	[1, 0]
C0440528	[1, 0]
C0440529	[1, 0]
C0440530	[0, 1]
C0440531	[1, 0]
C0440532	[1, 0]
C0440533	[1, 0]
C0440534	[1, 0]
C0440535	[1, 0]
C0440536	[1, 0]
C0440537	[1, 0]
C0440538	[1, 0]
C0440539	[1, 0]
C0440540	[1, 0]
C0440541	[1, 0]
C0440542	[1, 0]
C0440543	[1, 0]
C0440544	[1, 0]
C0440545	[1, 0]
C0440546	[1, 0]
C0440547	[1, 0]
C0440548	[1, 0]
C0440549	[1, 0]
C0440550	[1, 0]
C0440551	[1, 0]
C0440552	[1, 0]
C0440553	[1, 0]
C0440554	[1, 0]
