C0016390	[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]
C0017471	[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]
C0017473	[1, 1, 1]
C0017526	[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]
C0017527	[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
C0017528	[1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]
C0018042	[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]
C0018183	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]
C0018207	[1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
C0018496	[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
C0018497	[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]
C0018871	[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
C0018873	[1, 1, 1, 1, 0, 1, 0, 1, 1, 1]
C0018894	[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]
C0018956	[0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]
C0019000	[0, 1, 1, 1, 1, 1, 1]
C0019397	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]
C0019612	[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]
C0020200	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0020204	[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]
C0021158	[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0]
C0021770	[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]
C0021792	[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]
C0021868	[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]
C0022539	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0022567	[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]
C0022686	[1, 1, 1, 0, 1, 0, 0, 1, 1, 1]
