C0008663	[4, 12, 0, 6, 8]
C0008664	[4, 14, 0, 2, 9, 10]
C0008665	[6, 16, 0, 1, 4, 10, 11]
C0008666	[5, 14, 0, 1, 3, 9, 10]
C0008667	[4, 12, 0, 2, 6, 8]
C0008668	[5, 14, 15, 0, 1, 3, 9, 10]
C0008669	[5, 14, 0, 1, 3, 9, 10]
C0008670	[4, 13, 0, 2, 8, 9]
C0008671	[4, 13, 0, 2, 8, 9]
C0008672	[4, 13, 0, 2, 8, 9]
C0008778	[0, 1, 4, 2, 10, 11]
C0009013	[4, 6, 8, 10, 11, 14, 18, 0, 1, 3, 9, 13, 15, 16, 17, 19, 20]
C0009781	[2, 4, 6, 10, 7, 11]
C0010834	[0, 1, 17, 8, 12, 13]
C0010835	[0, 3, 6, 7]
C0010837	[1, 3, 4, 8, 9, 7]
C0010851	[0, 3, 6, 7, 5]
C0010853	[5, 6, 14, 0, 2, 10]
C0011305	[1, 9, 10, 5, 8, 12, 13, 14]
C0011306	[2, 4, 6, 11, 12, 0, 8, 10, 13, 14, 15]
C0011703	[6, 7, 14, 1, 10, 13, 16, 17]
C0013485	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
C0013921	[0, 1, 2, 3, 4, 5]
C0014239	[2, 3, 15, 21, 1, 8, 10, 11, 14]
C0014355	[0, 1, 2, 4, 5, 8, 10, 11, 13, 16, 17, 18, 21, 22, 24, 25, 26, 15, 19, 23]
C0014467	[9, 10, 27, 1, 2, 3, 15, 17, 32, 33]
C0014597	[1, 3, 5, 16, 17, 0, 7, 10, 11, 18, 22, 23]
C0014603	[0, 1, 2, 6, 4, 5, 7]
C0014762	[2, 10, 11, 15, 16, 22, 27, 6, 7, 13, 14, 28, 34, 35, 36, 37]
C0014776	[1, 2, 6, 7, 10, 11, 12, 0, 5, 8, 9]
C0014778	[1, 2, 4, 5, 6]
C0014780	[0, 3, 6, 2]
C0014792	[1, 3, 5, 7, 12, 13, 18, 33, 34, 53, 59, 66, 70, 4, 9, 25, 26, 38, 39, 41, 42, 50, 55, 58, 63, 65, 67, 72, 73]
C0014793	[0, 1, 3, 8, 9, 6]
C0014802	[0, 1, 3, 5, 6, 7, 8]
C0015161	[0, 1, 4, 7, 8, 3, 5, 6, 9, 10, 11]
C0016030	[4, 14, 15, 2, 9, 11, 18, 19]
C0016192	[0, 3, 1, 6, 7]
C0016390	[1, 2, 5, 10, 11, 0, 7, 8, 9, 12, 13]
C0017471	[2, 3, 6, 7, 11, 19, 20, 23, 24, 25, 0, 1, 14, 15, 17, 21, 22, 29, 31, 32, 35]
C0017473	[0, 2, 1]
C0017526	[0, 1, 2, 3, 4, 10, 11, 12, 14, 20, 24, 27, 29, 30, 33, 5, 8, 9, 13, 22, 25, 31, 32, 35, 36]
C0017527	[0, 1, 3, 7, 9, 10, 11, 12, 14, 15, 16, 4, 8]
C0017528	[0, 1, 2, 3, 7, 8, 10, 6]
C0018042	[0, 2, 12, 13, 24, 7, 18, 21, 29, 30, 33]
C0018183	[7, 8, 20, 13, 16, 23, 25, 31, 32, 33]
C0018207	[0, 2, 5, 6, 11, 8, 9, 10, 12, 13, 14]
C0018496	[0, 1, 2, 5, 6, 7, 9, 19, 20, 24, 25, 12, 15, 16, 18, 21, 22, 23]
C0018497	[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 19, 23, 20, 22, 24]
C0018871	[0, 5, 6, 10]
C0018873	[0, 1, 2, 5, 3, 7, 8, 9]
C0018894	[4, 6, 8, 11, 13, 15, 20, 24, 27, 30, 33, 35, 36, 37, 38, 40, 41, 43, 44, 46, 48, 49, 50, 55, 56, 57, 59, 60, 61, 62, 67, 69, 70, 71, 72, 73, 0, 10, 12, 16, 22, 23, 26, 52, 63, 64, 66, 74]
C0018956	[2, 3, 5, 6, 9, 12, 19, 26, 27, 36, 37, 38, 39, 7, 10, 16, 21, 24, 25, 28, 29, 30, 32, 34, 35]
C0019000	[1, 4, 5, 2, 3, 6]
C0019397	[2, 10, 6, 9]
C0019612	[4, 13, 14, 7, 8, 15, 16, 17, 20, 23]
C0020200	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
C0020204	[2, 7, 4, 6, 9]
C0021158	[0, 1, 2, 3, 5, 9]
C0021770	[0, 1, 2, 8, 5, 6, 7, 9, 10]
C0021792	[1, 3, 5, 10, 15, 16, 8, 9, 11, 12]
C0021868	[1, 5, 6, 7, 2]
C0022539	[0, 1, 2, 3, 4, 5, 6, 8, 9, 7]
C0022567	[3, 4, 12, 9, 11, 13, 15]
C0022686	[7, 0, 1, 2, 4, 8, 9]
C0022687	[0, 1, 2, 4, 5, 6, 7, 9, 12, 17, 18, 20, 21, 10, 11, 14, 19]
C0022688	[0, 1, 3, 4, 10, 12, 16, 23, 24, 29, 34, 5, 6, 7, 8, 9, 11, 21, 22, 25, 26, 27, 31, 32, 33, 35, 37, 39, 40]
C0022801	[0, 1, 2, 7, 12, 3, 5, 8, 10, 11, 13, 14, 15, 20]
C0022827	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 0, 13]
C0022891	[1, 2, 4, 6, 7, 17, 18]
C0023005	[1, 2, 5, 6, 7, 8, 9, 10, 13, 14, 19, 15, 17, 18, 20, 21, 22, 27]
C0023172	[1, 5, 8, 11, 0, 3, 6, 9]
C0023516	[0, 1, 2, 4, 10, 11, 19, 36, 37, 53, 59, 67, 68, 5, 9, 13, 14, 16, 17, 26, 27, 41, 42, 43, 51, 52, 55, 57, 58, 64, 65, 66, 69]
C0023517	[3, 4, 5, 8, 13, 1, 9]
C0023602	[1, 2, 6, 7, 14, 15, 16, 21, 26, 28, 30, 18, 19, 20, 22, 23, 24]
C0023768	[1, 2, 4, 6, 3, 5]
C0024156	[0, 1, 2, 3, 4, 8, 9, 10, 14, 7]
C0024264	[6, 7, 20, 0, 12, 14, 27, 28]
C0024265	[0, 1, 2, 3, 8, 9, 11, 13, 16, 6]
C0024369	[4, 15, 16, 0, 2, 12, 14, 17, 18]
C0024432	[0, 1, 2, 6, 7, 16, 17, 21, 26, 27, 28, 29, 30, 31, 13, 15, 24, 25]
C0024880	[0, 2, 4, 6, 11, 12, 22, 33, 36, 3, 16, 17, 19, 23, 24, 25, 27, 32]
C0025032	[1, 2, 3, 5, 6, 11, 8, 10, 14, 15]
C0025166	[3, 9, 10, 7, 8, 11, 13, 14]
C0025171	[0, 6, 1, 2]
C0025201	[1, 2, 9, 7, 8, 10, 12]
C0025207	[0, 2, 1]
C0025213	[0, 6, 4, 5, 7]
C0025954	[0, 3, 4]
